Potential,Flux
20.0,-4.942783959904774e-07
19.98,-2.5613244858391226e-07
19.96,-1.9890267211053472e-07
19.94,-1.7168932942013273e-07
19.92,-1.5533796471345343e-07
19.9,-1.4482637311630242e-07
19.88,-1.3735146353610617e-07
19.86,-1.3174528135095898e-07
19.84,-1.2777423563647974e-07
19.82,-1.2450396269514385e-07
19.8,-1.2240164437571368e-07
19.78,-1.206497124428552e-07
19.76,-1.192481668965684e-07
19.74,-1.1843059866123441e-07
19.72,-1.1796341681247213e-07
19.7,-1.1749623496370988e-07
19.68,-1.173794395015193e-07
19.66,-1.1761303042590045e-07
19.64,-1.1784662135028158e-07
19.62,-1.1819700773685328e-07
19.6,-1.1878098504780611e-07
19.58,-1.1948175782094952e-07
19.56,-1.201825305940929e-07
19.54,-1.2111689429161743e-07
19.52,-1.222848489135231e-07
19.5,-1.2310241714885706e-07
19.48,-1.2438716723295331e-07
19.46,-1.2567191731704952e-07
19.44,-1.2707346286333632e-07
19.42,-1.2835821294743257e-07
19.4,-1.3011014488029107e-07
19.38,-1.3139489496438728e-07
19.36,-1.3303003143505523e-07
19.34,-1.347819633679137e-07
19.32,-1.3641709983858166e-07
19.3,-1.382858272336307e-07
19.28,-1.4027135009087033e-07
19.26,-1.4214007748591942e-07
19.24,-1.4412560034315905e-07
19.22,-1.4611112320039868e-07
19.2,-1.480966460576383e-07
19.18,-1.5031575983925904e-07
19.16,-1.5241807815868927e-07
19.14,-1.5498757832688173e-07
19.12,-1.5697310118412136e-07
19.1,-1.596593968145044e-07
19.08,-1.619953060583157e-07
19.06,-1.6456480622650815e-07
19.04,-1.6701751093251008e-07
19.02,-1.6982060202508367e-07
19.0,-1.7227330673108554e-07
18.98,-1.751931932858497e-07
18.96,-1.7787948891623276e-07
18.94,-1.8079937547099692e-07
18.92,-1.8371926202576108e-07
18.9,-1.8663914858052522e-07
18.88,-1.895590351352894e-07
18.86,-1.9282930807662527e-07
18.84,-1.9598278555577056e-07
18.82,-1.992530584971064e-07
18.8,-2.0252333143844228e-07
18.78,-2.059103998419687e-07
18.76,-2.0953105916987624e-07
18.74,-2.129181275734027e-07
18.72,-2.1665558236350082e-07
18.7,-2.201594462292178e-07
18.68,-2.240136964815065e-07
18.66,-2.2775115127160464e-07
18.64,-2.316054015238933e-07
18.62,-2.3569324270056316e-07
18.6,-2.3966428841504245e-07
18.58,-2.436353341295217e-07
18.56,-2.4795676623057266e-07
18.54,-2.522781983316236e-07
18.52,-2.5648283497048396e-07
18.5,-2.612714489202972e-07
18.48,-2.654760855591576e-07
18.46,-2.701479040467803e-07
18.44,-2.7493651799659347e-07
18.42,-2.796083364842162e-07
18.4,-2.8463054135841054e-07
18.38,-2.895359507704143e-07
18.36,-2.946749511067992e-07
18.34,-2.998139514431841e-07
18.32,-3.0495295177956905e-07
18.3,-3.1032554304033516e-07
18.28,-3.1593172522548235e-07
18.26,-3.215379074106295e-07
18.24,-3.272608850579673e-07
18.22,-3.328670672431145e-07
18.2,-3.385900448904522e-07
18.18,-3.4478020438655227e-07
18.16,-3.507367729582711e-07
18.14,-3.569269324543712e-07
18.12,-3.6323388741266177e-07
18.1,-3.700080242197146e-07
18.08,-3.7654857010238635e-07
18.06,-3.83089115985058e-07
18.04,-3.8986325279211087e-07
18.02,-3.9675418506135434e-07
18.0,-4.039955037171694e-07
17.98,-4.1112002691079397e-07
17.96,-4.184781410287997e-07
17.94,-4.2595305060899596e-07
17.92,-4.335447556513828e-07
17.9,-4.4125325615596017e-07
17.88,-4.4907855212272807e-07
17.86,-4.571374390138772e-07
17.84,-4.6542991682940743e-07
17.82,-4.7360559918274713e-07
17.8,-4.82248463384849e-07
17.78,-4.90891327586951e-07
17.759999999999998,-4.995341917890529e-07
17.74,-5.08644237839917e-07
17.72,-5.178710793529717e-07
17.7,-5.268643299416453e-07
17.68,-5.364415578412718e-07
17.66,-5.461355812030888e-07
17.64,-5.559464000270965e-07
17.62,-5.658740143132946e-07
17.6,-5.760352195238738e-07
17.58,-5.863132201966437e-07
17.56,-5.970584027181759e-07
17.54,-6.076867897775174e-07
17.52,-6.186655632234307e-07
17.5,-6.298779275937251e-07
17.48,-6.410902919640193e-07
17.46,-6.527698381830761e-07
17.44,-6.645661798643232e-07
17.42,-6.763625215455705e-07
17.4,-6.8862604507558e-07
17.38,-7.0100636406778e-07
17.36,-7.136202739843612e-07
17.34,-7.264677748253235e-07
17.32,-7.395488665906669e-07
17.3,-7.529803447425821e-07
17.28,-7.666454138188784e-07
17.259999999999998,-7.804272783573651e-07
17.24,-7.944427338202332e-07
17.22,-8.088085756696729e-07
17.2,-8.234080084434937e-07
17.18,-8.382410321416956e-07
17.16,-8.533076467642787e-07
17.14,-8.687246477734335e-07
17.12,-8.846088306313504e-07
17.1,-9.006098089514581e-07
17.08,-9.169611736581374e-07
17.06,-9.335461292891979e-07
17.04,-9.502478803824489e-07
17.02,-9.675336087866526e-07
17.0,-9.84936132653047e-07
16.98,-1.0025722474438226e-06
16.96,-1.0209091350077417e-06
16.94,-1.0394796134960418e-06
16.92,-1.0581668874465324e-06
16.9,-1.0774381387079759e-06
16.88,-1.0968261854316097e-06
16.86,-1.116681414004006e-06
16.84,-1.1370038244251648e-06
16.82,-1.1575598257707045e-06
16.8,-1.1784662135028157e-06
16.78,-1.1996061921593084e-06
16.759999999999998,-1.2214469435889443e-06
16.74,-1.2436380814051518e-06
16.72,-1.2660628101457405e-06
16.7,-1.288837925272901e-06
16.68,-1.3124306086353956e-06
16.66,-1.3363736783844615e-06
16.64,-1.3601999526713373e-06
16.62,-1.3849605906557372e-06
16.6,-1.410071615026709e-06
16.58,-1.4357666167086338e-06
16.56,-1.4616952093149396e-06
16.54,-1.4880909837700076e-06
16.52,-1.5150707355360282e-06
16.5,-1.5426344646130021e-06
16.48,-1.570431784614357e-06
16.46,-1.5989298773888552e-06
16.44,-1.6280119474743062e-06
16.42,-1.657444403946329e-06
16.4,-1.687577633191495e-06
16.38,-1.7181780442854235e-06
16.36,-1.7491288417659236e-06
16.34,-1.7811307984061386e-06
16.32,-1.8134831414329258e-06
16.3,-1.8463026663084747e-06
16.28,-1.8797061684949767e-06
16.259999999999998,-1.913810443454622e-06
16.24,-1.9484986957252204e-06
16.22,-1.983887720768962e-06
16.2,-2.019743927661466e-06
16.18,-2.0564177027893042e-06
16.16,-2.0935586597659044e-06
16.14,-2.1316339804400286e-06
16.12,-2.170293278425106e-06
16.1,-2.209653349183327e-06
16.08,-2.2497141927146913e-06
16.06,-2.2905926044813896e-06
16.04,-2.3321717890212312e-06
16.02,-2.3743349508720257e-06
16.0,-2.4176660673447263e-06
15.98,-2.4612307747418076e-06
15.96,-2.5061970276851757e-06
15.94,-2.5515136670151155e-06
15.92,-2.597998260966961e-06
15.9,-2.644833241305378e-06
15.879999999999999,-2.692952971727891e-06
15.86,-2.7416566794613577e-06
15.84,-2.79164513727892e-06
15.82,-2.842334367869626e-06
15.8,-2.8937243712334752e-06
15.780000000000001,-2.9463991246814203e-06
15.76,-2.9996578554403186e-06
15.74,-3.0542013362833136e-06
15.719999999999999,-3.1096791808238322e-06
15.7,-3.1660913890618762e-06
15.68,-3.223554756459635e-06
15.66,-3.281952487554918e-06
15.64,-3.3416349687342976e-06
15.620000000000001,-3.4022518136112016e-06
15.6,-3.464036613110011e-06
15.58,-3.526872571768536e-06
15.559999999999999,-3.5908764850489665e-06
15.54,-3.6561651484134936e-06
15.52,-3.7223881754755443e-06
15.5,-3.7900127480838823e-06
15.48,-3.8588052753141255e-06
15.46,-3.928999348090656e-06
15.44,-4.00001098910252e-06
15.42,-4.072891357509435e-06
15.399999999999999,-4.1468228850760624e-06
15.379999999999999,-4.222155958188979e-06
15.36,-4.29889057684818e-06
15.34,-4.376793150129288e-06
15.32,-4.4560972689566825e-06
15.3,-4.536919728792555e-06
15.280000000000001,-4.619260529636904e-06
15.26,-4.703236466951922e-06
15.24,-4.788730745275417e-06
15.219999999999999,-4.8755097736830075e-06
15.2,-4.9641575294856474e-06
15.18,-5.054323626296765e-06
15.16,-5.1462416550407406e-06
15.14,-5.2392108429444315e-06
15.120000000000001,-5.3346327355541234e-06
15.1,-5.431339378247913e-06
15.08,-5.529914748336751e-06
