Potential,Flux
20.0,-4.940448050660962e-07
19.98,-2.5613244858391226e-07
19.96,-1.9890267211053472e-07
19.94,-1.7168932942013273e-07
19.92,-1.556883511000251e-07
19.9,-1.4482637311630242e-07
19.88,-1.3735146353610617e-07
19.86,-1.3174528135095898e-07
19.84,-1.2777423563647974e-07
19.82,-1.2462075815733445e-07
19.8,-1.2240164437571368e-07
19.78,-1.2076650790504573e-07
19.76,-1.192481668965684e-07
19.74,-1.1843059866123441e-07
19.72,-1.1796341681247213e-07
19.7,-1.1749623496370988e-07
19.68,-1.173794395015193e-07
19.66,-1.1761303042590045e-07
19.64,-1.1784662135028158e-07
19.62,-1.1819700773685328e-07
19.6,-1.1878098504780611e-07
19.58,-1.1948175782094952e-07
19.56,-1.201825305940929e-07
19.54,-1.2111689429161743e-07
19.52,-1.222848489135231e-07
19.5,-1.233360080732382e-07
19.48,-1.2450396269514385e-07
19.46,-1.2590550824143065e-07
19.44,-1.2707346286333632e-07
19.42,-1.2835821294743257e-07
19.4,-1.2987655395590994e-07
19.38,-1.3139489496438728e-07
19.36,-1.3303003143505523e-07
19.34,-1.3489875883010427e-07
19.32,-1.3641709983858166e-07
19.3,-1.382858272336307e-07
19.28,-1.401545546286798e-07
19.26,-1.4190648656153829e-07
19.24,-1.4400880488096846e-07
19.22,-1.4599432773820809e-07
19.2,-1.4821344151982885e-07
19.18,-1.5008216891487794e-07
19.16,-1.5241807815868927e-07
19.14,-1.547539874025006e-07
19.12,-1.570898966463119e-07
19.1,-1.5942580589012323e-07
19.08,-1.6211210152050628e-07
19.06,-1.6433121530212702e-07
19.04,-1.6701751093251008e-07
19.02,-1.6958701110070254e-07
19.0,-1.7227330673108554e-07
18.98,-1.7495960236146857e-07
18.96,-1.7799628437842332e-07
18.94,-1.8056578454661579e-07
18.92,-1.8383605748795165e-07
18.9,-1.8663914858052522e-07
18.88,-1.8967583059747997e-07
18.86,-1.927125126144347e-07
18.84,-1.9586599009358e-07
18.82,-1.992530584971064e-07
18.8,-2.0252333143844228e-07
18.78,-2.059103998419687e-07
18.76,-2.0929746824549514e-07
18.74,-2.1303492303559326e-07
18.72,-2.1653878690131026e-07
18.7,-2.2027624169140839e-07
18.68,-2.2389690101931595e-07
18.66,-2.278679467337952e-07
18.64,-2.317221969860839e-07
18.62,-2.35459651776182e-07
18.6,-2.39781083877233e-07
18.58,-2.437521295917122e-07
18.56,-2.4795676623057266e-07
18.54,-2.52161402869433e-07
18.52,-2.5683322135705566e-07
18.5,-2.611546534581066e-07
18.48,-2.6559288102134815e-07
18.46,-2.702646995089708e-07
18.44,-2.7481972253440295e-07
18.42,-2.797251319464067e-07
18.4,-2.845137458962199e-07
18.38,-2.895359507704143e-07
18.36,-2.9479174656898977e-07
18.34,-2.996971559809936e-07
18.32,-3.0518654270395023e-07
18.3,-3.1020874757814454e-07
18.28,-3.158149297632918e-07
18.26,-3.2142111194843897e-07
18.24,-3.271440895957767e-07
18.22,-3.328670672431145e-07
18.2,-3.388236358148334e-07
18.18,-3.4478020438655227e-07
18.16,-3.507367729582711e-07
18.14,-3.570437279165617e-07
18.12,-3.6346747833704285e-07
18.1,-3.6977443329533344e-07
18.08,-3.7619818371581465e-07
18.06,-3.83089115985058e-07
18.04,-3.9009684371649206e-07
18.02,-3.9675418506135434e-07
18.0,-4.039955037171694e-07
17.98,-4.1135361783517515e-07
17.96,-4.184781410287997e-07
17.94,-4.257194596846148e-07
17.92,-4.335447556513828e-07
17.9,-4.4113646069376955e-07
17.88,-4.4931214304710926e-07
17.86,-4.5737102993825834e-07
17.84,-4.6542991682940743e-07
17.82,-4.7372239464493765e-07
17.8,-4.823652588470395e-07
17.78,-4.906577366625697e-07
17.759999999999998,-4.996509872512434e-07
17.74,-5.085274423777265e-07
17.72,-5.176374884285906e-07
17.7,-5.269811254038359e-07
17.68,-5.365583533034624e-07
17.66,-5.461355812030888e-07
17.64,-5.558296045649058e-07
17.62,-5.65757218851104e-07
17.6,-5.761520149860645e-07
17.58,-5.864300156588343e-07
17.56,-5.969416072559852e-07
17.54,-6.076867897775174e-07
17.52,-6.184319722990494e-07
17.5,-6.295275412071534e-07
17.48,-6.4120708742621e-07
17.46,-6.527698381830761e-07
17.44,-6.645661798643232e-07
17.42,-6.763625215455705e-07
17.4,-6.8862604507558e-07
17.38,-7.008895686055895e-07
17.36,-7.137370694465517e-07
17.34,-7.264677748253235e-07
17.32,-7.395488665906669e-07
17.3,-7.530971402047727e-07
17.28,-7.665286183566878e-07
17.259999999999998,-7.805440738195558e-07
17.24,-7.943259383580425e-07
17.22,-8.088085756696729e-07
17.2,-8.234080084434937e-07
17.18,-8.383578276038862e-07
17.16,-8.535412376886599e-07
17.14,-8.689582386978145e-07
17.12,-8.846088306313504e-07
17.1,-9.006098089514581e-07
17.08,-9.167275827337563e-07
17.06,-9.333125383648169e-07
17.04,-9.501310849202583e-07
17.02,-9.67416813324462e-07
17.0,-9.848193371908565e-07
16.98,-1.0026890429060131e-06
16.96,-1.0209091350077417e-06
16.94,-1.0392460225716604e-06
16.92,-1.0581668874465324e-06
16.9,-1.0772045477835945e-06
16.88,-1.0968261854316097e-06
16.86,-1.1165646185418156e-06
16.84,-1.1366534380385929e-06
16.82,-1.1574430303085137e-06
16.8,-1.1783494180406253e-06
16.78,-1.1996061921593084e-06
16.759999999999998,-1.2214469435889443e-06
16.74,-1.2434044904807708e-06
16.72,-1.2660628101457405e-06
16.7,-1.2889547207350918e-06
16.68,-1.312313813173205e-06
16.66,-1.33602329199789e-06
16.64,-1.3604335435957182e-06
16.62,-1.3849605906557372e-06
16.6,-1.4099548195645186e-06
16.58,-1.4356498212464432e-06
16.56,-1.461578413852749e-06
16.54,-1.4883245746943887e-06
16.52,-1.5150707355360282e-06
16.5,-1.542400873688621e-06
16.48,-1.5705485800765475e-06
16.46,-1.5990466728510457e-06
16.44,-1.6280119474743062e-06
16.42,-1.657444403946329e-06
16.4,-1.6874608377293045e-06
16.38,-1.7180612488232327e-06
16.36,-1.749245637228114e-06
16.34,-1.7807804120195672e-06
16.32,-1.8130159595841633e-06
16.3,-1.8461858708462842e-06
16.28,-1.8795893730327862e-06
16.259999999999998,-1.9136936479924316e-06
16.24,-1.948615491187411e-06
16.22,-1.983770925306772e-06
16.2,-2.019627132199276e-06
16.18,-2.0561841118649227e-06
16.16,-2.0935586597659044e-06
16.14,-2.131750775902219e-06
16.12,-2.170059687500725e-06
16.1,-2.2095365537211364e-06
16.08,-2.249830988176882e-06
16.06,-2.290359013557009e-06
16.04,-2.33193819809685e-06
16.02,-2.374218155409835e-06
16.0,-2.417432476420345e-06
15.98,-2.461347570203998e-06
15.96,-2.5058466412986036e-06
15.94,-2.5515136670151155e-06
15.92,-2.597647874580389e-06
15.9,-2.645066832229759e-06
15.879999999999999,-2.6928361762657005e-06
15.86,-2.7416566794613577e-06
15.84,-2.7915283418167296e-06
15.82,-2.842334367869626e-06
15.8,-2.8936075757712847e-06
15.780000000000001,-2.9463991246814203e-06
15.76,-2.9997746509025096e-06
15.74,-3.0542013362833136e-06
15.719999999999999,-3.1095623853616416e-06
15.7,-3.165857798137495e-06
15.68,-3.2232043700730632e-06
15.66,-3.2820692830171083e-06
15.64,-3.3416349687342976e-06
15.620000000000001,-3.402135018149011e-06
15.6,-3.4639198176478203e-06
15.58,-3.526522185381964e-06
15.559999999999999,-3.590759689586776e-06
15.54,-3.6560483529513026e-06
15.52,-3.7222713800133533e-06
15.5,-3.7900127480838823e-06
15.48,-3.858688479851936e-06
15.46,-3.928765757166275e-06
15.44,-4.00001098910252e-06
15.42,-4.072657766585054e-06
15.399999999999999,-4.146589294151682e-06
15.379999999999999,-4.221805571802406e-06
15.36,-4.298540190461609e-06
15.34,-4.376676354667098e-06
15.32,-4.455863678032301e-06
15.3,-4.536802933330364e-06
15.280000000000001,-4.619377325099094e-06
15.26,-4.7031196714897305e-06
15.24,-4.788380358888844e-06
15.219999999999999,-4.875392978220816e-06
15.2,-4.963807143099075e-06
15.18,-5.054090035372384e-06
15.16,-5.145774473191978e-06
15.14,-5.23909404748224e-06
15.120000000000001,-5.334515940091934e-06
15.1,-5.431222582785722e-06
15.08,-5.529797952874561e-06
15.059999999999999,-5.6301252548962574e-06
15.04,-5.732321284313003e-06
15.02,-5.836269245662607e-06
15.0,-5.942436320793831e-06
14.98,-6.050355327857915e-06
14.96,-6.160259857779239e-06
14.94,-6.27191631963342e-06
14.92,-6.385908690731413e-06
14.899999999999999,-6.501769789224455e-06
14.879999999999999,-6.619733206036927e-06
14.86,-6.740149327555401e-06
14.84,-6.862550971931115e-06
14.82,-6.98728852555064e-06
14.8,-7.113894806565214e-06
