Potential,Flux
20.0,-1.310445085778156e-06
19.98,-6.79165612638144e-07
19.96,-5.276818981769794e-07
19.94,-4.555023025432093e-07
19.92,-4.1240477699489025e-07
19.9,-3.83906684220392e-07
19.88,-3.6416825111018625e-07
19.86,-3.4956881833636544e-07
19.84,-3.388236358148334e-07
19.82,-3.3053115799930316e-07
19.8,-3.246913848897748e-07
19.78,-3.1978597547777104e-07
19.76,-3.1639890707424456e-07
19.74,-3.141797932926238e-07
19.72,-3.126614522841465e-07
19.7,-3.117270885866219e-07
19.68,-3.113767022000502e-07
19.66,-3.117270885866219e-07
19.64,-3.1254465682195587e-07
19.62,-3.1371261144386153e-07
19.6,-3.151141569901484e-07
19.58,-3.1686608892300683e-07
19.56,-3.1885161178024646e-07
19.54,-3.2142111194843897e-07
19.52,-3.239906121166314e-07
19.5,-3.269104986713956e-07
19.48,-3.300639761505409e-07
19.46,-3.3345104455406727e-07
19.44,-3.370717038819749e-07
19.42,-3.405755677476918e-07
19.4,-3.4431302253779e-07
19.38,-3.487512501010315e-07
19.36,-3.5272229581551073e-07
19.34,-3.5739411430313345e-07
19.32,-3.620659327907561e-07
19.3,-3.6662095581618814e-07
19.28,-3.7175995615257307e-07
19.26,-3.766653655645769e-07
19.24,-3.8203795682534297e-07
19.22,-3.871769571617279e-07
19.2,-3.9289993480906565e-07
19.18,-3.985061169942128e-07
19.16,-4.045794810281223e-07
19.14,-4.1065284506203175e-07
19.12,-4.1660941363375064e-07
19.1,-4.2291636859204123e-07
19.08,-4.2945691447471296e-07
19.06,-4.359974603573846e-07
19.04,-4.4300518808881867e-07
19.02,-4.5001291582025265e-07
19.0,-4.570206435516867e-07
18.98,-4.642619622075017e-07
18.96,-4.7185366724988853e-07
18.94,-4.792117813678942e-07
18.92,-4.871538727968527e-07
18.9,-4.949791687636207e-07
18.88,-5.030380556547698e-07
18.86,-5.113305334703e-07
18.84,-5.197398067480209e-07
18.82,-5.284994664123133e-07
18.8,-5.371423306144152e-07
18.78,-5.4636917212747e-07
18.76,-5.553624227161436e-07
18.74,-5.647060596913889e-07
18.72,-5.742832875910153e-07
18.7,-5.842109018772136e-07
18.68,-5.9378812977684e-07
18.66,-6.040661304496099e-07
18.64,-6.143441311223797e-07
18.62,-6.2473892725734e-07
18.6,-6.354841097788723e-07
18.58,-6.463460877625948e-07
18.56,-6.575584521328893e-07
18.54,-6.688876119653742e-07
18.52,-6.806839536466215e-07
18.5,-6.924802953278686e-07
18.48,-7.042766370091159e-07
18.46,-7.164233650769347e-07
18.44,-7.288036840691349e-07
18.42,-7.418847758344782e-07
18.4,-7.547322766754406e-07
18.38,-7.679301639029746e-07
18.36,-7.813616420548897e-07
18.34,-7.949099156689955e-07
18.32,-8.091589620562446e-07
18.3,-8.231744175191125e-07
18.28,-8.377738502929333e-07
18.26,-8.524900785289448e-07
18.24,-8.673231022271466e-07
18.22,-8.827401032363015e-07
18.2,-8.985074906320278e-07
18.18,-9.141580825655639e-07
18.16,-9.303926518100525e-07
18.14,-9.468608119789225e-07
18.12,-9.637961539965547e-07
18.1,-9.809650869385678e-07
18.08,-9.982508153427716e-07
18.06,-1.0161205210579283e-06
18.04,-1.0342238176974663e-06
18.02,-1.052560705261385e-06
18.0,-1.071481570136257e-06
17.98,-1.0905192304733193e-06
17.96,-1.1097904817347628e-06
17.94,-1.129645710307159e-06
17.92,-1.1499681207283174e-06
17.9,-1.1701737356872857e-06
17.88,-1.1911969188815874e-06
17.86,-1.2126872839246518e-06
17.84,-1.2342944444299064e-06
17.82,-1.256251991321733e-06
17.8,-1.2787935155245123e-06
17.78,-1.301568630651673e-06
17.759999999999998,-1.3250445185519768e-06
17.74,-1.3486372019144712e-06
17.72,-1.3729306580501088e-06
17.7,-1.3975745005723184e-06
17.68,-1.4228023204054807e-06
17.66,-1.448380526625215e-06
17.64,-1.4741923237693302e-06
17.62,-1.5007048936865888e-06
