Potential,Flux
20.0,-2.913225216616411e-07
19.98,-1.5165646516379638e-07
19.96,-1.1857181902996672e-07
19.94,-1.028066520802895e-07
19.92,-9.303668946358812e-08
19.9,-8.681944052568724e-08
19.88,-8.304468224196171e-08
19.86,-7.971401316808624e-08
19.84,-7.771561172376096e-08
19.82,-7.593925488436071e-08
19.8,-7.482903185973555e-08
19.78,-7.394085344003543e-08
19.76,-7.349676423018536e-08
19.74,-7.327471962526033e-08
19.72,-7.260858581048524e-08
19.7,-7.283063041541027e-08
19.68,-7.30526750203353e-08
19.66,-7.327471962526033e-08
19.64,-7.37188088351104e-08
19.62,-7.416289804496046e-08
19.6,-7.460698725481052e-08
19.58,-7.527312106958561e-08
19.56,-7.638334409421077e-08
19.54,-7.704947790898586e-08
19.52,-7.771561172376096e-08
19.5,-7.904787935331115e-08
19.48,-7.949196856316121e-08
19.46,-8.08242361927114e-08
19.44,-8.149037000748649e-08
19.42,-8.304468224196171e-08
19.4,-8.43769498715119e-08
19.38,-8.504308368628699e-08
19.36,-8.681944052568724e-08
19.34,-8.770761894538737e-08
19.32,-8.926193117986259e-08
19.3,-9.059419880941277e-08
19.28,-9.214851104388799e-08
19.26,-9.392486788328824e-08
19.24,-9.50350909079134e-08
19.22,-9.658940314238862e-08
19.2,-9.814371537686384e-08
19.18,-1.0014211682118912e-07
19.16,-1.0169642905566434e-07
19.14,-1.0369483049998962e-07
19.12,-1.0524914273446484e-07
19.1,-1.0724754417879012e-07
19.08,-1.0880185641326534e-07
19.06,-1.1102230246251565e-07
19.04,-1.1302070390684094e-07
19.02,-1.1524114995609125e-07
19.0,-1.1723955140041653e-07
18.98,-1.192379528447418e-07
18.96,-1.212363542890671e-07
18.94,-1.2367884494324244e-07
18.92,-1.2567724638756772e-07
18.9,-1.2811973704174306e-07
18.88,-1.305622276959184e-07
18.86,-1.3300471835009375e-07
18.84,-1.354472090042691e-07
18.82,-1.383337888682945e-07
18.8,-1.4077627952246985e-07
18.78,-1.4344081478157023e-07
18.76,-1.4632739464559563e-07
18.74,-1.48991929904696e-07
18.72,-1.5165646516379638e-07
18.7,-1.5498713423767185e-07
18.68,-1.5765166949677223e-07
18.66,-1.609823385706477e-07
18.64,-1.6364687382974807e-07
18.62,-1.6697754290362354e-07
18.6,-1.6986412276764895e-07
18.58,-1.7341683644644945e-07
18.56,-1.7674750552032492e-07
18.54,-1.8030021919912542e-07
18.52,-1.836308882730009e-07
18.5,-1.871836019518014e-07
18.48,-1.9162449405030202e-07
18.46,-1.949551631241775e-07
18.44,-1.98507876802978e-07
18.42,-2.0228263508670352e-07
18.4,-2.0650148258027912e-07
18.38,-2.1027624086400465e-07
18.36,-2.142730437526552e-07
18.34,-2.1893598045608087e-07
18.32,-2.233768725545815e-07
18.3,-2.275957200481571e-07
18.28,-2.3225865675158275e-07
18.26,-2.3647750424515834e-07
18.24,-2.4136248555350903e-07
18.22,-2.4646951146678475e-07
18.2,-2.511324481702104e-07
18.18,-2.5646151868841116e-07
18.16,-2.611244553918368e-07
18.14,-2.660094367001875e-07
18.12,-2.717825964282383e-07
18.1,-2.7711166694643907e-07
18.08,-2.822186928597148e-07
18.06,-2.8821389719269064e-07
18.04,-2.942091015256665e-07
18.02,-2.999822612537173e-07
18.0,-3.0597746558669314e-07
17.98,-3.11972669919669e-07
17.96,-3.1818991885756986e-07
17.94,-3.241851231905457e-07
17.92,-3.306244167333716e-07
17.9,-3.375077994860476e-07
17.88,-3.4416913763379853e-07
17.86,-3.5127456499139953e-07
17.84,-3.5837999234900053e-07
17.82,-3.6548541970660153e-07
17.8,-3.723688024592775e-07
17.78,-3.7991831902672857e-07
17.759999999999998,-3.8746783559417963e-07
17.74,-3.9546144137148076e-07
17.72,-4.0323300254385686e-07
17.7,-4.11448652926083e-07
17.68,-4.1966430330830917e-07
17.66,-4.2810199829546036e-07
17.64,-4.367617378875366e-07
17.62,-4.4519943287468777e-07
17.6,-4.54081217071689e-07
17.58,-4.6362913508346537e-07
17.56,-4.7273296388539165e-07
17.54,-4.82280881897168e-07
17.52,-4.918287999089443e-07
17.5,-5.013767179207207e-07
17.48,-5.118128143521972e-07
17.46,-5.220268661787486e-07
17.44,-5.324629626102251e-07
17.42,-5.433431482515516e-07
17.4,-5.542233338928781e-07
17.38,-5.655476087440547e-07
17.36,-5.764277943853813e-07
17.34,-5.88640247656258e-07
17.32,-6.001865671123596e-07
17.3,-6.123990203832363e-07
17.28,-6.250555628639631e-07
17.259999999999998,-6.374900607397649e-07
17.24,-6.501466032204917e-07
17.22,-6.632472349110685e-07
17.2,-6.763478666016454e-07
17.18,-6.903366767119223e-07
17.16,-7.041034422172743e-07
17.14,-7.180922523275513e-07
17.12,-7.327471962526033e-07
