Potential,Flux
20.0,-4.926432595198094e-07
19.98,-2.560156531217217e-07
19.96,-1.990194675727253e-07
19.94,-1.7157253395794217e-07
19.92,-1.5545476017564397e-07
19.9,-1.4482637311630242e-07
19.88,-1.3711787261172503e-07
19.86,-1.3174528135095898e-07
19.84,-1.2777423563647974e-07
19.82,-1.24737553619525e-07
19.8,-1.2216805345133253e-07
19.78,-1.205329169806646e-07
19.76,-1.1936496235875893e-07
19.74,-1.1854739412342497e-07
19.72,-1.1761303042590045e-07
19.7,-1.1749623496370988e-07
19.68,-1.173794395015193e-07
19.66,-1.1749623496370988e-07
19.64,-1.1784662135028158e-07
19.62,-1.1831380319904386e-07
19.6,-1.1866418958561554e-07
19.58,-1.1936496235875893e-07
19.56,-1.2029932605628346e-07
19.54,-1.2123368975380802e-07
19.52,-1.222848489135231e-07
19.5,-1.2345280353542876e-07
19.48,-1.2438716723295331e-07
19.46,-1.2567191731704952e-07
19.44,-1.2695666740114578e-07
19.42,-1.2824141748524198e-07
19.4,-1.2987655395590994e-07
19.38,-1.3139489496438728e-07
19.36,-1.3303003143505523e-07
19.34,-1.3466516790572316e-07
19.32,-1.3641709983858166e-07
19.3,-1.3816903177144016e-07
19.28,-1.400377591664892e-07
19.26,-1.4178969109934772e-07
19.24,-1.4389200941877792e-07
19.22,-1.4576073681382695e-07
19.2,-1.4786305513325718e-07
19.18,-1.501989643770685e-07
19.16,-1.5241807815868927e-07
19.14,-1.5463719194031e-07
19.12,-1.570898966463119e-07
19.1,-1.591922149657421e-07
19.08,-1.6164491967174402e-07
19.06,-1.6433121530212702e-07
19.04,-1.6690071547031948e-07
19.02,-1.6970380656289308e-07
19.0,-1.72156511268895e-07
18.98,-1.7484280689927803e-07
18.96,-1.7764589799185162e-07
18.94,-1.8068258000880633e-07
18.92,-1.8336887563918938e-07
18.9,-1.8663914858052522e-07
18.88,-1.895590351352894e-07
18.86,-1.9259571715224413e-07
18.84,-1.9586599009358e-07
18.82,-1.9913626303491585e-07
18.8,-2.024065359762517e-07
18.78,-2.0567680891758758e-07
18.76,-2.09063877321114e-07
18.74,-2.1280133211121213e-07
18.72,-2.1630519597692913e-07
18.7,-2.1980905984264612e-07
18.68,-2.236633100949348e-07
18.66,-2.2751756034722353e-07
18.64,-2.313718105995122e-07
18.62,-2.35459651776182e-07
18.6,-2.3943069749066126e-07
18.58,-2.435185386673311e-07
18.56,-2.4760637984400097e-07
18.54,-2.518110164828613e-07
18.52,-2.5636603950829345e-07
18.5,-2.606874716093444e-07
18.48,-2.6524249463477645e-07
18.46,-2.6979751766020854e-07
18.44,-2.7470292707221233e-07
18.42,-2.792579500976445e-07
18.4,-2.8428015497183884e-07
18.38,-2.8906876892165206e-07
18.36,-2.943245647202275e-07
18.34,-2.993467695944219e-07
18.32,-3.0460256539299735e-07
18.3,-3.0997515665376346e-07
18.28,-3.155813388389106e-07
18.26,-3.209539300996767e-07
18.24,-3.269104986713956e-07
18.22,-3.323998853943522e-07
18.2,-3.385900448904522e-07
18.18,-3.4431302253779e-07
18.16,-3.5050318203389e-07
18.14,-3.568101369921806e-07
18.12,-3.630002964882806e-07
18.1,-3.6930725144657117e-07
18.08,-3.759645927914335e-07
18.06,-3.823883432119146e-07
18.04,-3.892792754811581e-07
18.02,-3.9640379867478265e-07
18.0,-4.03294730944026e-07
17.98,-4.105360495998412e-07
17.96,-4.1801095918003744e-07
17.94,-4.254858687602337e-07
17.92,-4.3296077834042995e-07
17.9,-4.4055248338281677e-07
17.88,-4.483777793495847e-07
17.86,-4.565534617029243e-07
17.84,-4.646123485940734e-07
17.82,-4.7302162187179425e-07
