Potential,Flux
20.0,-9.237055564881302e-08
19.98,-4.773959005888173e-08
19.96,-3.752553823233029e-08
19.94,-3.241851231905457e-08
19.92,-2.9753977059954195e-08
19.9,-2.7533531010703882e-08
19.88,-2.5979218776228663e-08
19.86,-2.5091040356528538e-08
19.84,-2.4424906541753444e-08
19.82,-2.398081733190338e-08
19.8,-2.353672812205332e-08
19.78,-2.3314683517128287e-08
19.76,-2.353672812205332e-08
19.74,-2.2870594307278225e-08
19.72,-2.3092638912203256e-08
19.7,-2.3314683517128287e-08
19.68,-2.3092638912203256e-08
19.66,-2.3314683517128287e-08
19.64,-2.3314683517128287e-08
19.62,-2.3092638912203256e-08
19.6,-2.375877272697835e-08
19.58,-2.375877272697835e-08
19.56,-2.375877272697835e-08
19.54,-2.4202861936828413e-08
19.52,-2.4646951146678475e-08
19.5,-2.5091040356528538e-08
19.48,-2.5091040356528538e-08
19.46,-2.5757174171303632e-08
19.44,-2.5979218776228663e-08
19.42,-2.6201263381153694e-08
19.4,-2.6423307986078726e-08
19.38,-2.708944180085382e-08
19.36,-2.7533531010703882e-08
19.34,-2.7977620220553945e-08
19.32,-2.8421709430404007e-08
19.3,-2.8199664825478976e-08
19.28,-2.886579864025407e-08
19.26,-2.9531932455029164e-08
19.24,-3.019806626980426e-08
19.22,-3.064215547965432e-08
19.2,-3.1308289294429414e-08
19.18,-3.1530333899354446e-08
19.16,-3.197442310920451e-08
19.14,-3.26405569239796e-08
19.12,-3.3306690738754696e-08
19.1,-3.375077994860476e-08
19.08,-3.419486915845482e-08
19.06,-3.5083047578154947e-08
19.04,-3.597122599785507e-08
19.02,-3.61932706027801e-08
19.0,-3.68594044175552e-08
18.98,-3.774758283725532e-08
18.96,-3.8191672047105385e-08
18.94,-3.885780586188048e-08
18.92,-3.9745984281580604e-08
18.9,-4.019007349143067e-08
18.88,-4.130029651605582e-08
18.86,-4.218847493575595e-08
18.84,-4.241051954068098e-08
18.82,-4.39648317751562e-08
