Potential,Flux
20.0,-4.786278040569415e-07
19.98,-2.554316758107689e-07
19.96,-1.9843549026177246e-07
19.94,-1.7122214757137044e-07
19.92,-1.5510437378907227e-07
19.9,-1.4435919126754018e-07
19.88,-1.366506907629628e-07
19.86,-1.3151169042657787e-07
19.84,-1.2730705378771745e-07
19.82,-1.2427037177076272e-07
19.8,-1.219344625269514e-07
19.78,-1.2006573513190236e-07
19.76,-1.1889778050999669e-07
19.74,-1.1796341681247213e-07
19.72,-1.173794395015193e-07
19.7,-1.1679546219056647e-07
19.68,-1.1679546219056647e-07
19.66,-1.1702905311494761e-07
19.64,-1.1726264403932875e-07
19.62,-1.1761303042590045e-07
19.6,-1.1808021227466271e-07
19.58,-1.1901457597218724e-07
19.56,-1.1959855328314006e-07
19.54,-1.205329169806646e-07
19.52,-1.2135048521599856e-07
19.5,-1.2275203076228536e-07
19.48,-1.236863944598099e-07
19.46,-1.2485434908171555e-07
19.44,-1.2637269009019294e-07
19.42,-1.2765744017428915e-07
19.4,-1.2917578118276651e-07
19.38,-1.3046053126686274e-07
19.36,-1.323292586619118e-07
19.34,-1.337308042081986e-07
19.32,-1.355995316032477e-07
19.3,-1.3735146353610617e-07
19.28,-1.3898660000677412e-07
19.26,-1.4097212286401375e-07
19.24,-1.4295764572125338e-07
19.22,-1.4494316857849301e-07
19.2,-1.4716228236011375e-07
19.18,-1.4914780521735338e-07
19.16,-1.5136691899897414e-07
19.14,-1.5358603278059493e-07
19.12,-1.560387374865968e-07
19.1,-1.5837464673040816e-07
19.08,-1.6071055597421949e-07
19.06,-1.6328005614241195e-07
19.04,-1.6573276084841382e-07
19.02,-1.6818546555441574e-07
19.0,-1.7087176118479874e-07
18.98,-1.7367485227737236e-07
18.96,-1.7647794336994596e-07
18.94,-1.7904744353813842e-07
18.92,-1.8220092101728372e-07
18.9,-1.8512080757204788e-07
18.88,-1.8827428505119317e-07
18.86,-1.9107737614376677e-07
18.84,-1.943476490851026e-07
18.82,-1.9738433110205736e-07
18.8,-2.0077139950558379e-07
18.78,-2.041584679091102e-07
18.76,-2.073119453882555e-07
18.74,-2.111661956405442e-07
18.72,-2.1455326404407063e-07
18.7,-2.1805712790978762e-07
18.68,-2.2179458269988575e-07
18.66,-2.2553203748998388e-07
18.64,-2.2950308320446316e-07
18.62,-2.3324053799456126e-07
18.6,-2.3709478824684993e-07
18.58,-2.412994248857104e-07
18.56,-2.4538726606238015e-07
18.54,-2.497086981634311e-07
18.52,-2.5414692572667263e-07
18.5,-2.584683578277236e-07
18.48,-2.6267299446658404e-07
18.46,-2.672280174920161e-07
18.44,-2.7178304051744817e-07
18.42,-2.768052453916426e-07
18.4,-2.8147706387926524e-07
18.38,-2.8649926875345955e-07
18.36,-2.914046781654634e-07
18.34,-2.965436785018483e-07
18.32,-3.0156588337604267e-07
18.3,-3.0682167917461816e-07
18.28,-3.1219427043538417e-07
18.26,-3.178004526205314e-07
18.24,-3.231730438812974e-07
18.22,-3.291296124530163e-07
18.2,-3.348525901003541e-07
18.18,-3.4069236320988244e-07
18.16,-3.4641534085722014e-07
18.14,-3.5272229581551073e-07
18.12,-3.589124553116108e-07
18.1,-3.6510261480771083e-07
18.08,-3.716431606903825e-07
18.06,-3.7830050203524484e-07
18.04,-3.8495784338010713e-07
18.02,-3.916151847249694e-07
18.0,-3.986229124564034e-07
17.98,-4.0563064018783734e-07
17.96,-4.127551633814619e-07
17.94,-4.2023007296165815e-07
17.92,-4.277049825418544e-07
17.9,-4.3506309665986015e-07
17.88,-4.428883926266281e-07
17.86,-4.509472795177772e-07
17.84,-4.5888937094673565e-07
17.82,-4.6671466691350366e-07
17.8,-4.7524073565341496e-07
17.78,-4.835332134689452e-07
17.759999999999998,-4.922928731332378e-07
17.74,-5.010525327975301e-07
17.72,-5.098121924618227e-07
17.7,-5.190390339748775e-07
17.68,-5.282658754879321e-07
17.66,-5.376095124631775e-07
17.64,-5.473035358249946e-07
17.62,-5.57114354649002e-07
17.6,-5.669251734730097e-07
17.58,-5.770863786835889e-07
17.56,-5.873643793563588e-07
17.54,-5.978759709535097e-07
17.52,-6.082707670884702e-07
17.5,-6.193663359965741e-07
17.48,-6.303451094424873e-07
17.46,-6.416742692749722e-07
17.44,-6.531202245696478e-07
17.42,-6.646829753265139e-07
17.4,-6.765961124699515e-07
17.38,-6.885092496133893e-07
17.36,-7.0100636406778e-07
17.34,-7.135034785221707e-07
17.32,-7.262341839009424e-07
17.3,-7.393152756662857e-07
17.28,-7.525131628938198e-07
17.259999999999998,-7.660614365079256e-07
17.24,-7.796097101220313e-07
17.22,-7.935083701227087e-07
17.2,-8.077574165099578e-07
17.18,-8.223568492837786e-07
17.16,-8.3707307751979e-07
17.14,-8.520228966801825e-07
17.12,-8.673231022271466e-07
17.1,-8.826233077741108e-07
17.08,-8.983906951698374e-07
17.06,-9.14391673489945e-07
17.04,-9.309766291210054e-07
17.02,-9.475615847520659e-07
17.0,-9.646137222318887e-07
16.98,-9.816658597117112e-07
16.96,-9.993019745024867e-07
16.94,-1.0171716802176434e-06
16.92,-1.0353917723193717e-06
16.9,-1.0539622508076718e-06
16.88,-1.0727663202203532e-06
16.86,-1.0920375714817967e-06
16.84,-1.1116592091298116e-06
16.82,-1.1312808467778268e-06
16.8,-1.1514864617367948e-06
16.78,-1.1722760540067159e-06
16.759999999999998,-1.193182441738827e-06
16.74,-1.2145560113197007e-06
16.72,-1.236279967287146e-06
16.7,-1.258471105103354e-06
16.68,-1.2807790383817519e-06
16.66,-1.3037877444332937e-06
16.64,-1.3272636323335973e-06
16.62,-1.3507395202339014e-06
16.6,-1.375032976369539e-06
16.58,-1.3996768188917486e-06
16.56,-1.4245542523383394e-06
16.54,-1.4500156630958827e-06
16.52,-1.4762946420887604e-06
16.5,-1.502456825619447e-06
16.48,-1.5293197819232775e-06
16.46,-1.556416329151489e-06
16.44,-1.584447240077225e-06
16.42,-1.6128285373895326e-06
16.4,-1.641560221088412e-06
16.38,-1.6709926775604345e-06
16.36,-1.700775520419029e-06
16.34,-1.7311423405885764e-06
16.32,-1.762209933531267e-06
16.3,-1.7936279128605295e-06
16.28,-1.8256298695007447e-06
16.259999999999998,-1.8582158034519125e-06
16.24,-1.891502510176224e-06
16.22,-1.925256398749298e-06
16.2,-1.9595942646333246e-06
16.18,-1.9945161078283036e-06
16.16,-2.0301387237964268e-06
16.14,-2.0664621125376925e-06
16.12,-2.103486274052102e-06
16.1,-2.1410944128774645e-06
16.08,-2.1790529380893986e-06
16.06,-2.218062622461048e-06
16.04,-2.2574226932192687e-06
16.02,-2.2980675140615862e-06
16.0,-2.3388291303660935e-06
15.98,-2.380758701292507e-06
15.96,-2.422921863143302e-06
15.94,-2.4662529796160015e-06
15.92,-2.510168073399655e-06
15.9,-2.5549007354186415e-06
15.879999999999999,-2.600684556597344e-06
15.86,-2.6468187641626177e-06
15.84,-2.6941209263497967e-06
15.82,-2.742007065847929e-06
15.8,-2.7911779554301575e-06
15.780000000000001,-2.840699231398958e-06
15.76,-2.8911548710652828e-06
15.74,-2.942661669891322e-06
