Potential,Flux
20.0,-2.899902540320909e-07
19.98,-1.5187850976872141e-07
19.96,-1.1834977442504169e-07
19.94,-1.0258460747536446e-07
19.92,-9.325873406851315e-08
19.9,-8.704148513061227e-08
19.88,-8.260059303211165e-08
19.86,-7.971401316808624e-08
19.84,-7.749356711883593e-08
19.82,-7.571721027943568e-08
19.8,-7.460698725481052e-08
19.78,-7.416289804496046e-08
19.76,-7.349676423018536e-08
19.74,-7.283063041541027e-08
19.72,-7.283063041541027e-08
19.7,-7.30526750203353e-08
19.68,-7.327471962526033e-08
19.66,-7.349676423018536e-08
19.64,-7.37188088351104e-08
19.62,-7.394085344003543e-08
19.6,-7.482903185973555e-08
19.58,-7.571721027943568e-08
19.56,-7.593925488436071e-08
19.54,-7.704947790898586e-08
19.52,-7.793765632868599e-08
19.5,-7.882583474838611e-08
19.48,-7.949196856316121e-08
19.46,-8.08242361927114e-08
19.44,-8.171241461241152e-08
19.42,-8.304468224196171e-08
19.4,-8.393286066166183e-08
19.38,-8.526512829121202e-08
19.36,-8.637535131583718e-08
19.34,-8.770761894538737e-08
19.32,-8.881784197001252e-08
19.3,-9.037215420448774e-08
19.28,-9.170442183403793e-08
19.26,-9.325873406851315e-08
19.24,-9.50350909079134e-08
19.22,-9.658940314238862e-08
19.2,-9.836575998178887e-08
19.18,-9.969802761133906e-08
19.16,-1.0147438445073931e-07
19.14,-1.0302869668521453e-07
19.12,-1.0547118733938987e-07
19.1,-1.0702549957386509e-07
19.08,-1.0880185641326534e-07
19.06,-1.1080025785759062e-07
19.04,-1.1257661469699087e-07
19.02,-1.1457501614131615e-07
19.0,-1.1679546219056647e-07
18.98,-1.1879386363489175e-07
18.96,-1.212363542890671e-07
18.94,-1.2301271112846734e-07
18.92,-1.254552017826427e-07
18.9,-1.2811973704174306e-07
18.88,-1.3034018309099338e-07
18.86,-1.3278267374516872e-07
18.84,-1.3500311979441904e-07
18.82,-1.3811174426336947e-07
18.8,-1.4055423491754482e-07
18.78,-1.432187701766452e-07
18.76,-1.4588330543574557e-07
18.74,-1.4854784069484595e-07
18.72,-1.5143442055887135e-07
18.7,-1.5432100042289676e-07
18.68,-1.574296248918472e-07
18.66,-1.6053824936079764e-07
18.64,-1.638689184346731e-07
18.62,-1.667554982986985e-07
18.6,-1.7008616737257398e-07
18.58,-1.729727472365994e-07
18.56,-1.765254609153999e-07
18.54,-1.7985612998927536e-07
18.52,-1.8340884366807586e-07
18.5,-1.8696155734687636e-07
18.48,-1.9051427102567686e-07
18.46,-1.9451107391432743e-07
18.44,-1.9806378759312793e-07
18.42,-2.0250467969162855e-07
18.4,-2.0627943797535409e-07
18.38,-2.1027624086400465e-07
18.36,-2.1449508835758024e-07
18.34,-2.1871393585115584e-07
18.32,-2.2293278334473143e-07
18.3,-2.2715163083830703e-07
18.28,-2.3159252293680765e-07
18.26,-2.3647750424515834e-07
18.24,-2.4069635173873394e-07
18.22,-2.453592884421596e-07
18.2,-2.502442697505103e-07
18.18,-2.5557334026871104e-07
18.16,-2.6068036618198676e-07
18.14,-2.6556534749033744e-07
18.12,-2.7111646261346323e-07
18.1,-2.7622348852673895e-07
18.08,-2.8177460364986473e-07
18.06,-2.873257187729905e-07
18.04,-2.9309887850104133e-07
18.02,-2.9909408283401717e-07
18.0,-3.0464519795714295e-07
17.98,-3.1086244689504383e-07
17.96,-3.170796958329447e-07
17.94,-3.2307490016592055e-07
17.92,-3.299582829185965e-07
17.9,-3.3639757646142243e-07
17.88,-3.4283687000424834e-07
17.86,-3.4994229736184934e-07
17.84,-3.5704772471945034e-07
17.82,-3.643751966819764e-07
17.8,-3.714806240395774e-07
17.78,-3.788080960021034e-07
17.759999999999998,-3.865796571744795e-07
17.74,-3.943512183468556e-07
17.72,-4.0190073491430667e-07
17.7,-4.101163852965328e-07
17.68,-4.1810999107383395e-07
17.66,-4.2654768606098514e-07
17.64,-4.3520742565306136e-07
17.62,-4.434230760352875e-07
