Potential,Flux
20.0,-4.942783959904774e-07
19.98,-2.5613244858391226e-07
19.96,-1.9890267211053472e-07
19.94,-1.7168932942013273e-07
19.92,-1.5533796471345343e-07
19.9,-1.4482637311630242e-07
19.88,-1.3735146353610617e-07
19.86,-1.319788722753401e-07
19.84,-1.2765744017428915e-07
19.82,-1.24737553619525e-07
19.8,-1.2216805345133253e-07
19.78,-1.206497124428552e-07
19.76,-1.192481668965684e-07
19.74,-1.1843059866123441e-07
19.72,-1.1796341681247213e-07
19.7,-1.1749623496370988e-07
19.68,-1.1761303042590045e-07
19.66,-1.1761303042590045e-07
19.64,-1.1784662135028158e-07
19.62,-1.1819700773685328e-07
19.6,-1.1878098504780611e-07
19.58,-1.1948175782094952e-07
19.56,-1.201825305940929e-07
19.54,-1.2111689429161743e-07
19.52,-1.222848489135231e-07
19.5,-1.233360080732382e-07
19.48,-1.2438716723295331e-07
19.46,-1.257887127792401e-07
19.44,-1.2707346286333632e-07
19.42,-1.2835821294743257e-07
19.4,-1.2987655395590994e-07
19.38,-1.3139489496438728e-07
19.36,-1.3303003143505523e-07
19.34,-1.347819633679137e-07
19.32,-1.3641709983858166e-07
19.3,-1.382858272336307e-07
19.28,-1.400377591664892e-07
19.26,-1.4214007748591942e-07
19.24,-1.4412560034315905e-07
19.22,-1.4611112320039868e-07
19.2,-1.480966460576383e-07
19.18,-1.5031575983925904e-07
19.16,-1.5241807815868927e-07
19.14,-1.547539874025006e-07
19.12,-1.5720669210850247e-07
19.1,-1.5942580589012323e-07
19.08,-1.619953060583157e-07
19.06,-1.6433121530212702e-07
19.04,-1.6690071547031948e-07
19.02,-1.6958701110070254e-07
19.0,-1.725068976554667e-07
18.98,-1.7507639782365916e-07
18.96,-1.7787948891623276e-07
18.94,-1.8079937547099692e-07
18.92,-1.8371926202576108e-07
18.9,-1.8663914858052522e-07
18.88,-1.895590351352894e-07
18.86,-1.9282930807662527e-07
18.84,-1.9598278555577056e-07
18.82,-1.992530584971064e-07
18.8,-2.0275692236282342e-07
18.78,-2.0579360437977812e-07
18.76,-2.0953105916987624e-07
18.74,-2.129181275734027e-07
18.72,-2.1642199143911967e-07
18.7,-2.201594462292178e-07
18.68,-2.240136964815065e-07
18.66,-2.2775115127160464e-07
18.64,-2.316054015238933e-07
18.62,-2.3557644723837257e-07
18.6,-2.3966428841504245e-07
18.58,-2.436353341295217e-07
18.56,-2.4783997076838205e-07
18.54,-2.522781983316236e-07
18.52,-2.5671642589486515e-07
18.5,-2.610378579959161e-07
18.48,-2.6570967648353877e-07
18.46,-2.701479040467803e-07
18.44,-2.7493651799659347e-07
18.42,-2.7984192740859726e-07
18.4,-2.8439695043402935e-07
18.38,-2.895359507704143e-07
18.36,-2.945581556446087e-07
18.34,-2.996971559809936e-07
18.32,-3.0495295177956905e-07
18.3,-3.1032554304033516e-07
18.28,-3.158149297632918e-07
18.26,-3.213043164862484e-07
18.24,-3.271440895957767e-07
18.22,-3.328670672431145e-07
18.2,-3.388236358148334e-07
18.18,-3.445466134621711e-07
18.16,-3.507367729582711e-07
18.14,-3.5716052337875226e-07
18.12,-3.6346747833704285e-07
18.1,-3.6977443329533344e-07
18.08,-3.7643177464019573e-07
18.06,-3.83089115985058e-07
18.04,-3.9009684371649206e-07
18.02,-3.9675418506135434e-07
18.0,-4.039955037171694e-07
17.98,-4.1135361783517515e-07
17.96,-4.184781410287997e-07
17.94,-4.2595305060899596e-07
17.92,-4.334279601891922e-07
17.9,-4.4125325615596017e-07
17.88,-4.4907855212272807e-07
17.86,-4.571374390138772e-07
17.84,-4.6542991682940743e-07
17.82,-4.7383919010712816e-07
17.8,-4.82248463384849e-07
17.78,-4.907745321247603e-07
17.759999999999998,-4.995341917890529e-07
17.74,-5.08644237839917e-07
17.72,-5.175206929664e-07
17.7,-5.270979208660266e-07
17.68,-5.364415578412718e-07
17.66,-5.460187857408983e-07
17.64,-5.559464000270965e-07
17.62,-5.658740143132946e-07
17.6,-5.761520149860645e-07
17.58,-5.865468111210248e-07
17.56,-5.969416072559852e-07
17.54,-6.079203807018985e-07
17.52,-6.184319722990494e-07
17.5,-6.297611321315344e-07
17.48,-6.4120708742621e-07
17.46,-6.52536247258695e-07
17.44,-6.643325889399421e-07
17.42,-6.765961124699515e-07
17.4,-6.885092496133893e-07
17.38,-7.0100636406778e-07
17.36,-7.136202739843612e-07
17.34,-7.263509793631329e-07
17.32,-7.396656620528575e-07
17.3,-7.528635492803915e-07
17.28,-7.666454138188784e-07
17.259999999999998,-7.805440738195558e-07
17.24,-7.943259383580425e-07
17.22,-8.09042166594054e-07
17.2,-8.234080084434937e-07
17.18,-8.383578276038862e-07
17.16,-8.534244422264692e-07
17.14,-8.688414432356241e-07
17.12,-8.8449203516916e-07
17.1,-9.004930134892675e-07
17.08,-9.168443781959469e-07
17.06,-9.334293338270073e-07
17.04,-9.501310849202583e-07
17.02,-9.67416813324462e-07
17.0,-9.848193371908565e-07
16.98,-1.0026890429060131e-06
16.96,-1.020792339545551e-06
16.94,-1.039362818033851e-06
16.92,-1.0580500919843418e-06
16.9,-1.0773213432457853e-06
16.88,-1.0967093899694193e-06
16.86,-1.1167982094661966e-06
16.84,-1.136887028962974e-06
16.82,-1.1574430303085137e-06
16.8,-1.1785830089650062e-06
16.78,-1.1997229876214988e-06
16.759999999999998,-1.2215637390511347e-06
16.74,-1.2435212859429612e-06
16.72,-1.266179605607931e-06
16.7,-1.2891883116594729e-06
16.68,-1.312547404097586e-06
16.66,-1.3361400874600806e-06
16.64,-1.3603167481335277e-06
16.62,-1.3850773861179277e-06
16.6,-1.4101884104888995e-06
16.58,-1.4356498212464432e-06
16.56,-1.46181200477713e-06
16.54,-1.4882077792321981e-06
16.52,-1.515187530998219e-06
16.5,-1.542400873688621e-06
16.48,-1.570431784614357e-06
16.46,-1.5989298773888552e-06
16.44,-1.6280119474743062e-06
16.42,-1.657444403946329e-06
16.4,-1.687577633191495e-06
16.38,-1.7179444533610424e-06
16.36,-1.7493624326903048e-06
16.34,-1.7811307984061386e-06
16.32,-1.8132495505085446e-06
16.3,-1.8463026663084747e-06
16.28,-1.8797061684949767e-06
16.259999999999998,-1.9136936479924316e-06
16.24,-1.9484986957252204e-06
16.22,-1.9835373343823908e-06
16.2,-2.019627132199276e-06
16.18,-2.0564177027893042e-06
16.16,-2.093675455228095e-06
16.14,-2.131750775902219e-06
16.12,-2.170293278425106e-06
16.1,-2.2097701446455176e-06
16.08,-2.2495973972525007e-06
16.06,-2.290475809019199e-06
16.04,-2.3320549935590407e-06
16.02,-2.3744517463342163e-06
16.0,-2.4175492718825357e-06
15.98,-2.461347570203998e-06
15.96,-2.505963436760794e-06
15.94,-2.5515136670151155e-06
15.92,-2.59776467004258e-06
15.9,-2.644833241305378e-06
15.879999999999999,-2.692952971727891e-06
15.86,-2.7418902703857384e-06
15.84,-2.79164513727892e-06
15.82,-2.842100776945245e-06
15.8,-2.8937243712334752e-06
15.780000000000001,-2.9463991246814203e-06
15.76,-2.999541059978128e-06
15.74,-3.0542013362833136e-06
15.719999999999999,-3.1096791808238322e-06
15.7,-3.1659745935996857e-06
15.68,-3.2234379609974444e-06
15.66,-3.2820692830171083e-06
15.64,-3.3417517641964878e-06
15.620000000000001,-3.4022518136112016e-06
15.6,-3.4641534085722014e-06
15.58,-3.526872571768536e-06
15.559999999999999,-3.5908764850489665e-06
15.54,-3.6561651484134936e-06
15.52,-3.7223881754755443e-06
15.5,-3.7900127480838823e-06
15.48,-3.858688479851936e-06
15.46,-3.928882552628466e-06
15.44,-4.000127784564712e-06
15.42,-4.072774562047243e-06
15.399999999999999,-4.146706089613872e-06
15.379999999999999,-4.222039162726787e-06
15.36,-4.298656985923799e-06
15.34,-4.376559559204907e-06
15.32,-4.4560972689566825e-06
15.3,-4.536919728792555e-06
15.280000000000001,-4.619377325099094e-06
15.26,-4.703236466951922e-06
15.24,-4.788613949813225e-06
15.219999999999999,-4.875626569145198e-06
15.2,-4.964274324947837e-06
15.18,-5.054323626296765e-06
15.16,-5.1460080641163594e-06
15.14,-5.239444433868812e-06
15.120000000000001,-5.334749531016315e-06
15.1,-5.431456173710103e-06
15.08,-5.530031543798942e-06
15.059999999999999,-5.6303588458206386e-06
