Potential,Flux
20.0,-9.237055564881302e-08
19.98,-4.75175454539567e-08
19.96,-3.730349362740526e-08
19.94,-3.219646771412954e-08
19.92,-2.9531932455029164e-08
19.9,-2.731148640577885e-08
19.88,-2.6201263381153694e-08
19.86,-2.531308496145357e-08
19.84,-2.4646951146678475e-08
19.82,-2.4202861936828413e-08
19.8,-2.3314683517128287e-08
19.78,-2.353672812205332e-08
19.76,-2.3314683517128287e-08
19.74,-2.353672812205332e-08
19.72,-2.2648549702353193e-08
19.7,-2.3314683517128287e-08
19.68,-2.3092638912203256e-08
19.66,-2.3314683517128287e-08
19.64,-2.3092638912203256e-08
19.62,-2.3314683517128287e-08
19.6,-2.375877272697835e-08
19.58,-2.398081733190338e-08
19.56,-2.398081733190338e-08
19.54,-2.4424906541753444e-08
19.52,-2.4868995751603507e-08
19.5,-2.4646951146678475e-08
19.48,-2.5091040356528538e-08
19.46,-2.5757174171303632e-08
19.44,-2.5979218776228663e-08
19.42,-2.6201263381153694e-08
19.4,-2.6423307986078726e-08
19.38,-2.708944180085382e-08
19.36,-2.7533531010703882e-08
19.34,-2.7977620220553945e-08
19.32,-2.8199664825478976e-08
19.3,-2.864375403532904e-08
19.28,-2.886579864025407e-08
19.26,-2.9531932455029164e-08
19.24,-2.9976021664879227e-08
19.22,-3.064215547965432e-08
19.2,-3.108624468950438e-08
19.18,-3.1530333899354446e-08
19.16,-3.219646771412954e-08
19.14,-3.2862601528904634e-08
19.12,-3.352873534367973e-08
19.1,-3.397282455352979e-08
19.08,-3.441691376337985e-08
19.06,-3.530509218307998e-08
19.04,-3.552713678800501e-08
19.02,-3.61932706027801e-08
19.0,-3.68594044175552e-08
18.98,-3.774758283725532e-08
18.96,-3.8191672047105385e-08
18.94,-3.930189507173054e-08
18.92,-3.952393967665557e-08
18.9,-4.063416270128073e-08
18.88,-4.1522341120980855e-08
18.86,-4.196643033083092e-08
18.84,-4.263256414560601e-08
18.82,-4.3298697960381105e-08
18.8,-4.440892098500626e-08
18.78,-4.574118861455645e-08
18.76,-4.6407322429331543e-08
18.74,-4.707345624410664e-08
18.72,-4.773959005888173e-08
18.7,-4.907185768843192e-08
18.68,-5.0182080713057076e-08
18.66,-5.084821452783217e-08
18.64,-5.1736392947532295e-08
18.62,-5.262457136723242e-08
18.6,-5.3734794391857577e-08
18.58,-5.484501741648273e-08
18.56,-5.617728504603292e-08
18.54,-5.7065463465733046e-08
18.52,-5.81756864903582e-08
18.5,-5.906386491005833e-08
18.48,-6.017408793468348e-08
18.46,-6.17284001691587e-08
18.44,-6.283862319378386e-08
18.42,-6.439293542825908e-08
18.4,-6.505906924303417e-08
18.38,-6.639133687258436e-08
18.36,-6.816769371198461e-08
18.34,-6.927791673660977e-08
18.32,-7.061018436615996e-08
18.3,-7.216449660063518e-08
18.28,-7.37188088351104e-08
18.26,-7.482903185973555e-08
18.24,-7.638334409421077e-08
18.22,-7.771561172376096e-08
18.2,-7.971401316808624e-08
18.18,-8.126832540256146e-08
18.16,-8.237854842718662e-08
18.14,-8.43769498715119e-08
18.12,-8.593126210598712e-08
18.1,-8.748557434046234e-08
18.08,-8.926193117986259e-08
18.06,-9.126033262418787e-08
18.04,-9.281464485866309e-08
18.02,-9.481304630298837e-08
18.0,-9.658940314238862e-08
17.98,-9.85878045867139e-08
17.96,-1.0058620603103918e-07
17.94,-1.0258460747536446e-07
17.92,-1.0458300891968975e-07
17.9,-1.0680345496894006e-07
17.88,-1.0880185641326534e-07
17.86,-1.1102230246251565e-07
17.84,-1.13464793116691e-07
17.82,-1.1568523916594131e-07
17.8,-1.1790568521519162e-07
17.78,-1.2034817586936697e-07
17.759999999999998,-1.2279066652354231e-07
17.74,-1.2501111257279263e-07
17.72,-1.2745360322696797e-07
17.7,-1.3011813848606835e-07
17.68,-1.3278267374516872e-07
17.66,-1.3566925360919413e-07
17.64,-1.3811174426336947e-07
17.62,-1.4099832412739488e-07
17.6,-1.4366285938649526e-07
17.58,-1.4654943925052066e-07
17.56,-1.4943601911454607e-07
17.54,-1.5232259897857148e-07
17.52,-1.5543122344752192e-07
17.5,-1.5898393712632242e-07
17.48,-1.6209256159527285e-07
17.46,-1.652011860642233e-07
17.44,-1.6853185513809876e-07
17.42,-1.7208456881689926e-07
17.4,-1.7541523789077473e-07
17.38,-1.787459069646502e-07
17.36,-1.8252066524837574e-07
17.34,-1.8629542353210127e-07
17.32,-1.900701818158268e-07
17.3,-1.9384494009955233e-07
17.28,-1.9761969838327786e-07
17.259999999999998,-2.0117241206207837e-07
17.24,-2.05613304160579e-07
17.22,-2.0961010704922955e-07
17.2,-2.1360690993788012e-07
17.18,-2.184918912462308e-07
17.16,-2.227107387398064e-07
17.14,-2.2715163083830703e-07
17.12,-2.3159252293680765e-07
17.1,-2.3647750424515834e-07
17.08,-2.41140440948584e-07
17.06,-2.4558133304708463e-07
17.04,-2.509104035652854e-07
17.02,-2.560174294785611e-07
17.0,-2.609024107869118e-07
16.98,-2.6645352591003757e-07
16.96,-2.717825964282383e-07
16.94,-2.7755575615628914e-07
16.92,-2.828848266744899e-07
16.9,-2.8843594179761567e-07
16.88,-2.942091015256665e-07
16.86,-3.0020430585864233e-07
16.84,-3.061995101916182e-07
16.82,-3.1241675912951905e-07
16.8,-3.1885605267234496e-07
16.78,-3.2529534621517087e-07
16.759999999999998,-3.319566843629218e-07
16.74,-3.383959779057477e-07
16.72,-3.452793606584237e-07
16.7,-3.523847880160247e-07
16.68,-3.5926817076870066e-07
16.66,-3.6637359812630166e-07
16.64,-3.737010700888277e-07
16.62,-3.8125058665627876e-07
16.6,-3.888001032237298e-07
16.58,-3.97237798210881e-07
16.56,-4.0523140398818214e-07
16.54,-4.1300296516055823e-07
16.52,-4.2166270475263445e-07
16.5,-4.3010039973978564e-07
16.48,-4.3876013933186186e-07
16.46,-4.4786396813378815e-07
16.44,-4.5652370772586437e-07
16.42,-4.6562753652779065e-07
16.4,-4.7561954374941706e-07
16.38,-4.845013279464183e-07
16.36,-4.949374243778948e-07
16.34,-5.044853423896711e-07
16.32,-5.146993942162226e-07
16.3,-5.24913446042774e-07
16.28,-5.362377208939506e-07
16.259999999999998,-5.46451772720502e-07
16.24,-5.577760475716786e-07
16.22,-5.688782778179302e-07
16.2,-5.804245972740318e-07
16.18,-5.919709167301335e-07
16.16,-6.041833700010102e-07
16.14,-6.159517340620368e-07
16.12,-6.288303211476887e-07
16.1,-6.414868636284154e-07
16.08,-6.543654507140673e-07
16.06,-6.672440377997191e-07
16.04,-6.81010803305071e-07
16.02,-6.945555242054979e-07
16.0,-7.085443343157749e-07
15.98,-7.23199278240827e-07
15.96,-7.37410132956029e-07
15.94,-7.527312106958561e-07
15.92,-7.678302438307583e-07
15.9,-7.833733661755105e-07
15.879999999999999,-7.995826223350377e-07
15.86,-8.151257446797899e-07
15.84,-8.313350008393172e-07
15.82,-8.486544800234697e-07
15.8,-8.657519146026971e-07
15.780000000000001,-8.828493491819245e-07
15.76,-9.01057006785777e-07
15.74,-9.190426197847046e-07
15.719999999999999,-9.376943665984072e-07
15.7,-9.565681580170349e-07
15.68,-9.763301278553627e-07
15.66,-9.958700530887654e-07
15.64,-1.0160761121369433e-06
15.620000000000001,-1.036060126580196e-06
15.6,-1.056932319443149e-06
15.58,-1.078470646120877e-06
15.559999999999999,-1.100008972798605e-06
15.54,-1.1224354778960333e-06
15.52,-1.1450840275983865e-06
15.5,-1.1681766665105897e-06
15.48,-1.191491350027718e-06
15.46,-1.2159162565694714e-06
15.44,-1.24056320771615e-06
15.42,-1.2656542480726785e-06
15.399999999999999,-1.291189377639057e-06
15.379999999999999,-1.3171685964152857e-06
15.36,-1.3438139490062895e-06
15.34,-1.3713474800169934e-06
15.32,-1.3988810110276972e-06
15.3,-1.4266365866433262e-06
15.280000000000001,-1.4555023852835802e-06
15.26,-1.4850343177386094e-06
15.24,-1.5154544286133387e-06
15.219999999999999,-1.545874539488068e-06
15.2,-1.5771828287824974e-06
15.18,-1.6087131626818518e-06
